id,organism,control,time,abundance,logscale,treatment
Slagter2016,H,FALSE,44.2455,0,FALSE,"Replete host, Fe limited vius"
Slagter2016,H,FALSE,48.1458,0,FALSE,"Replete host, Fe limited vius"
Slagter2016,V,FALSE,4.71E-04,1.47E+07,FALSE,"Replete host, Fe limited vius"
Slagter2016,V,FALSE,4.0956,2.69E+07,FALSE,"Replete host, Fe limited vius"
Slagter2016,V,FALSE,8.0628,4.30E+07,FALSE,"Replete host, Fe limited vius"
Slagter2016,V,FALSE,12.0363,2.55E+08,FALSE,"Replete host, Fe limited vius"
Slagter2016,V,FALSE,16.0705,3.64E+08,FALSE,"Replete host, Fe limited vius"
Slagter2016,V,FALSE,20.1048,4.78E+08,FALSE,"Replete host, Fe limited vius"
Slagter2016,V,FALSE,24.1039,4.88E+08,FALSE,"Replete host, Fe limited vius"
Slagter2016,V,FALSE,28.0395,5.13E+08,FALSE,"Replete host, Fe limited vius"
Slagter2016,V,FALSE,32.042,6.34E+08,FALSE,"Replete host, Fe limited vius"
Slagter2016,V,FALSE,36.0759,7.33E+08,FALSE,"Replete host, Fe limited vius"
Slagter2016,V,FALSE,44.101,5.98E+08,FALSE,"Replete host, Fe limited vius"
Slagter2016,V,FALSE,48.1629,5.72E+08,FALSE,"Replete host, Fe limited vius"
Slagter2016,H,FALSE,0.0135,8.46E+05,FALSE,"Fe limited host, Fe limited vius"
Slagter2016,H,FALSE,4.0502,1.06E+06,FALSE,"Fe limited host, Fe limited vius"
Slagter2016,H,FALSE,8.0181,9.71E+05,FALSE,"Fe limited host, Fe limited vius"
Slagter2016,H,FALSE,12.0184,9.12E+05,FALSE,"Fe limited host, Fe limited vius"
Slagter2016,H,FALSE,15.9854,7.68E+05,FALSE,"Fe limited host, Fe limited vius"
Slagter2016,H,FALSE,20.0174,6.90E+05,FALSE,"Fe limited host, Fe limited vius"
Slagter2016,H,FALSE,23.984,5.23E+05,FALSE,"Fe limited host, Fe limited vius"
Slagter2016,H,FALSE,28.0171,5.06E+05,FALSE,"Fe limited host, Fe limited vius"
Slagter2016,H,FALSE,32.0788,2.85E+05,FALSE,"Fe limited host, Fe limited vius"
Slagter2016,H,FALSE,36.0458,1.42E+05,FALSE,"Fe limited host, Fe limited vius"
Slagter2016,H,FALSE,40.047,1.37E+05,FALSE,"Fe limited host, Fe limited vius"
